sentence,label
hide new secretions from the parental units ,0
"contains no wit , only labored gags ",0
remains utterly satisfied to remain the same throughout ,0
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0
that 's far too tragic to merit such superficial treatment ,0
a depressed fifteen-year-old 's suicidal poetry ,0
goes to absurd lengths ,0
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0
"the part where nothing 's happening , ",0
saw how bad this movie was ,0
lend some dignity to a dumb story ,0
cold movie ,0
redundant concept ,0
excruciatingly unfunny and pitifully unromantic ,0
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
"the plot is nothing but boilerplate clichés from start to finish , ",0
the action is stilted ,0
"will find little of interest in this film , which is often preachy and poorly acted ",0
by far the worst movie of the year ,0
"sit through , ",0
oblivious to the existence of this film ,0
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0
sometimes dry ,0
"as they come , already having been recycled more times than i 'd care to count ",0
a $ 40 million version of a game ,0
as a fringe feminist conspiracy theorist ,0
disappointments ,0
the horrors ,0
many pointless ,0
"contrived , well-worn situations ",0
a doa ,0
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0
far less sophisticated and ,0
no apparent joy ,0
shot on ugly digital video ,0
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0
"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0
we never feel anything for these characters ,0
's a lousy one at that ,0
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0
of the most highly-praised disappointments i ,0
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0
to the dustbin of history ,0
"as a director , eastwood is off his game ",0
weak and ,0
"skip this dreck , ",0
contains very few laughs and even less surprises ,0
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0
strung-together moments ,0
overbearing and over-the-top ,0
yet this grating showcase ,0
addition to sporting one of the worst titles in recent cinematic history ,0
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0
do n't work in concert ,0
"it 's too harsh to work as a piece of storytelling , ",0
altogether too slight to be called any kind of masterpiece ,0
grievous but ,0
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0
hopeless ,0
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0
are n't many conclusive answers in the film ,0
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0
just too silly ,0
it is supremely unfunny and unentertaining to watch middle-age and ,0
irritates and ,0
collapse ,0
"( vainly , i think ) ",0
is one big excuse to play one lewd scene after another . ,0
"watching this digital-effects-heavy , supposed family-friendly comedy ",0
absolutely and completely ridiculous and ,0
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ",0
no lika da ,0
just one that could easily wait for your pay per view dollar ,0
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0
about as interesting ,0
"overlong , and bombastic ",0
derivative and hammily ,0
disney again ransacks its archives for a quick-buck sequel . ,0
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ",0
think of this dog of a movie ,0
those so-so films that could have been much better ,0
i hate it . ,0
"no one involved , save dash , shows the slightest aptitude for acting ",0
in this wildly uneven movie ,0
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0
being able to hit on a 15-year old when you 're over 100 ,0
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",0
starts off so bad that you feel like running out screaming ,0
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0
", plodding picture ",0
"the character dramas , which never reach satisfying conclusions ",0
lost in the translation this time ,0
a plot cobbled together from largely flat and uncreative moments ,0
inane and awful ,0
told in scattered fashion ,0
"believe it or not , jason actually takes a backseat in his own film to special effects ",0
only thing to fear about `` fear dot com '' ,0
whole mess ,0
a résumé loaded with credits like `` girl in bar # 3 ,0
very little to add beyond the dark visions already relayed by superb recent predecessors ,0
"the , yes , snail-like pacing ",0
an extremely unpleasant film . ,0
"the whole affair , true story or not , feels incredibly hokey ... ",0
are all things we 've seen before ,0
as predictable as the tides ,0
", unassuming , subordinate ",0
the horror ,0
a dim ,0
", vicious and absurd ",0
because he acts so goofy all the time ,0
as a dentist 's waiting room ,0
amazingly lame . ,0
confessions may not be a straightforward bio ,0
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,0
the story is bogus and ,0
ugly as the shabby digital photography ,0
understand the difference between dumb fun and just plain dumb ,0
frida is n't that much different from many a hollywood romance . ,0
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0
carnage and ,0
"degraded , handheld blair witch video-cam footage ",0
second fiddle ,0
about the folly of superficiality that is itself ,0
"serves as auto-critique , and its clumsiness as its own most damning censure . ",0
tedious norwegian offering which somehow snagged an oscar nomination . ,0
", esther kahn is unusual but unfortunately also irritating . ",0
halfway through this picture i was beginning to hate it ,0
a setup so easy it borders on facile ,0
a thoroughly awful movie ,0
"look smeary and blurry , to the point of distraction ",0
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ",0
"breezy , distracted rhythms ",0
than this mess ,0
two guys who desperately want to be quentin tarantino when they grow up ,0
no new plot conceptions ,0
essentially a collection of bits -- ,0
does n't bode well for the rest of it ,0
usual worst ,0
i could have used my two hours better watching being john malkovich again . ,0
scant ,0
too ludicrous ,0
ultra-cheesy dialogue ,0
handsome but unfulfilling suspense drama ,0
's not very good either . ,0
in her most charmless ,0
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",0
ugly digital video ,0
rather choppy ,0
becomes one more dumb high school comedy about sex gags and prom dates ,0
is worse : ,0
horrifying ,0
mourns her tragedies in private ,0
the action scenes are poorly delivered ,0
it 's so bad ,0
so bad ,0
"dabbles all around , never gaining much momentum ",0
does n't leave you with much . ,0
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0
is less successful on other levels ,0
he appears miserable throughout as he swaggers through his scenes ,0
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
", it never quite makes the grade as tawdry trash . ",0
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",0
the dehumanizing and ego-destroying process ,0
taboo subject matter ,0
utterly incompetent conclusion ,0
run for cover ,0
low budget ,0
"walked out muttering words like `` horrible '' and `` terrible , '' ",0
a giant step backward ,0
just copies ,0
"from lynch , jeunet , and von trier while failing to find a spark of its own ",0
this frozen tundra soap opera ,0
is simply too overdone ,0
try and evade ,0
far tamer ,0
is never any question of how things will turn out ,0
only open new wounds ,0
despite suffering a sense-of-humour failure ,0
sleepwalk through vulgarities in a sequel you can refuse ,0
with no reason for being ,0
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",0
a movie that ca n't get sufficient distance from leroy 's ,0
of special effects that run the gamut from cheesy to cheesier to cheesiest ,0
the worst film a man has made about women since valley of the dolls ,0
"come , already having been recycled more times than i 'd care to count ",0
", partisans and sabotage ",0
gory as the scenes of torture and self-mutilation ,0
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0
"this obscenely bad dark comedy , so crass ",0
schticky ,0
"( less a movie than ) an appalling , odoriferous thing ... so ",0
the stomach-turning violence ,0
could use a little more humanity ,0
not everything ,0
a slow-moving police-procedural thriller ,0
a bad idea from frame one ,0
volletta wallace 's maternal fury ,0
atop wooden dialogue ,0
that it progresses in such a low-key manner that it risks monotony ,0
it seeks excitement in manufactured high drama ,0
feeble comedy . ,0
an insult to every family ,0
it is essentially empty ,0
of the film 's problems ,0
makes my big fat greek wedding look like an apartheid drama ,0
is not even half the interest . ,0
never achieve the popularity of my big fat greek wedding ,0
"right now , they 're merely signposts marking the slow , lingering death of imagination . ",0
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ",0
the energy it takes to describe how bad it is ,0
wait to see it then . ,0
comatose ballerinas ,0
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0
formulaic equations ,0
"simply stupid , irrelevant ",0
a heavy-handed indictment of parental failings and ,0
seem weird and distanced ,0
plodding mess ,0
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",0
you 'll find yourself wishing that you and they were in another movie . ,0
of dishonesty ,0
as bestial ,0
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0
", they prove more distressing than suspenseful . ",0
her bully of a husband ,0
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,0
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,0
stale retread ,0
