Review,Liked,Bert_Loss,Bert_Logits,RoBerta_Loss,RoBerta_Logits
Wow... Loved this place.,1,"tensor(0.6988, grad_fn=<NllLossBackward>)","tensor([[1.1379e-02, 2.9802e-05]], grad_fn=<AddmmBackward>)","tensor(0.7361, grad_fn=<NllLossBackward>)","tensor([[0.1008, 0.0167]], grad_fn=<AddmmBackward>)"
Crust is not good.,0,"tensor(0.7296, grad_fn=<NllLossBackward>)","tensor([[0.1087, 0.0372]], grad_fn=<AddmmBackward>)","tensor(0.7187, grad_fn=<NllLossBackward>)","tensor([[0.0796, 0.0291]], grad_fn=<AddmmBackward>)"
Not tasty and the texture was just nasty.,0,"tensor(0.6791, grad_fn=<NllLossBackward>)","tensor([[0.0536, 0.0819]], grad_fn=<AddmmBackward>)","tensor(0.7241, grad_fn=<NllLossBackward>)","tensor([[0.0822, 0.0212]], grad_fn=<AddmmBackward>)"
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,"tensor(0.6939, grad_fn=<NllLossBackward>)","tensor([[0.0626, 0.0611]], grad_fn=<AddmmBackward>)","tensor(0.7260, grad_fn=<NllLossBackward>)","tensor([[0.0927, 0.0280]], grad_fn=<AddmmBackward>)"
The selection on the menu was great and so were the prices.,1,"tensor(0.7288, grad_fn=<NllLossBackward>)","tensor([[0.1375, 0.0674]], grad_fn=<AddmmBackward>)","tensor(0.7210, grad_fn=<NllLossBackward>)","tensor([[0.0756, 0.0207]], grad_fn=<AddmmBackward>)"
Now I am getting angry and I want my damn pho.,0,"tensor(0.6783, grad_fn=<NllLossBackward>)","tensor([[0.0270, 0.0569]], grad_fn=<AddmmBackward>)","tensor(0.7361, grad_fn=<NllLossBackward>)","tensor([[0.0988, 0.0147]], grad_fn=<AddmmBackward>)"
Honeslty it didn't taste THAT fresh.),0,"tensor(0.6539, grad_fn=<NllLossBackward>)","tensor([[0.0499, 0.1300]], grad_fn=<AddmmBackward>)","tensor(0.7137, grad_fn=<NllLossBackward>)","tensor([[0.0828, 0.0421]], grad_fn=<AddmmBackward>)"
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,"tensor(0.6252, grad_fn=<NllLossBackward>)","tensor([[0.0412, 0.1821]], grad_fn=<AddmmBackward>)","tensor(0.7147, grad_fn=<NllLossBackward>)","tensor([[0.0787, 0.0360]], grad_fn=<AddmmBackward>)"
The fries were great too.,1,"tensor(0.7443, grad_fn=<NllLossBackward>)","tensor([[0.1011, 0.0013]], grad_fn=<AddmmBackward>)","tensor(0.7260, grad_fn=<NllLossBackward>)","tensor([[0.0892, 0.0246]], grad_fn=<AddmmBackward>)"
A great touch.,1,"tensor(0.6207, grad_fn=<NllLossBackward>)","tensor([[-0.0658,  0.0847]], grad_fn=<AddmmBackward>)","tensor(0.7133, grad_fn=<NllLossBackward>)","tensor([[0.0788, 0.0389]], grad_fn=<AddmmBackward>)"
Service was very prompt.,1,"tensor(0.7159, grad_fn=<NllLossBackward>)","tensor([[0.0885, 0.0436]], grad_fn=<AddmmBackward>)","tensor(0.7149, grad_fn=<NllLossBackward>)","tensor([[0.0756, 0.0325]], grad_fn=<AddmmBackward>)"
Would not go back.,0,"tensor(0.7248, grad_fn=<NllLossBackward>)","tensor([[0.0840, 0.0217]], grad_fn=<AddmmBackward>)","tensor(0.7203, grad_fn=<NllLossBackward>)","tensor([[0.0870, 0.0334]], grad_fn=<AddmmBackward>)"
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,"tensor(0.6560, grad_fn=<NllLossBackward>)","tensor([[0.0157, 0.0915]], grad_fn=<AddmmBackward>)","tensor(0.7219, grad_fn=<NllLossBackward>)","tensor([[0.0832, 0.0264]], grad_fn=<AddmmBackward>)"
