Review,Liked,Bert_Loss,Bert_Logits,Bert_Labels,RoBerta_Loss,RoBerta_Logits,RoBert_Labels,Albert_Loss,Albert_Logits,Albert_Labels
Wow... Loved this place.,1,"tensor(0.4353, grad_fn=<NllLossBackward>)","tensor([[0.1924, 0.7986]], grad_fn=<AddmmBackward>)",1,"tensor(0.7543, grad_fn=<NllLossBackward>)","tensor([[-0.0056, -0.1244]], grad_fn=<AddmmBackward>)",0,"tensor(0.5410, grad_fn=<NllLossBackward>)","tensor([[-0.0518,  0.2798]], grad_fn=<AddmmBackward>)",1
Crust is not good.,0,"tensor(1.0513, grad_fn=<NllLossBackward>)","tensor([[0.2055, 0.8268]], grad_fn=<AddmmBackward>)",1,"tensor(0.6394, grad_fn=<NllLossBackward>)","tensor([[-0.0053, -0.1158]], grad_fn=<AddmmBackward>)",0,"tensor(0.9447, grad_fn=<NllLossBackward>)","tensor([[-0.2358,  0.2166]], grad_fn=<AddmmBackward>)",1
Not tasty and the texture was just nasty.,0,"tensor(0.9690, grad_fn=<NllLossBackward>)","tensor([[0.2174, 0.7092]], grad_fn=<AddmmBackward>)",1,"tensor(0.6392, grad_fn=<NllLossBackward>)","tensor([[-0.0096, -0.1205]], grad_fn=<AddmmBackward>)",0,"tensor(0.8834, grad_fn=<NllLossBackward>)","tensor([[-0.1876,  0.1624]], grad_fn=<AddmmBackward>)",1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,"tensor(0.4289, grad_fn=<NllLossBackward>)","tensor([[0.1903, 0.8146]], grad_fn=<AddmmBackward>)",1,"tensor(0.7518, grad_fn=<NllLossBackward>)","tensor([[-0.0075, -0.1215]], grad_fn=<AddmmBackward>)",0,"tensor(0.4783, grad_fn=<NllLossBackward>)","tensor([[-0.0365,  0.4524]], grad_fn=<AddmmBackward>)",1
The selection on the menu was great and so were the prices.,1,"tensor(0.4264, grad_fn=<NllLossBackward>)","tensor([[0.1367, 0.7683]], grad_fn=<AddmmBackward>)",1,"tensor(0.7447, grad_fn=<NllLossBackward>)","tensor([[-0.0128, -0.1135]], grad_fn=<AddmmBackward>)",0,"tensor(0.5358, grad_fn=<NllLossBackward>)","tensor([[-0.0638,  0.2803]], grad_fn=<AddmmBackward>)",1
Now I am getting angry and I want my damn pho.,0,"tensor(0.9214, grad_fn=<NllLossBackward>)","tensor([[0.2968, 0.7108]], grad_fn=<AddmmBackward>)",1,"tensor(0.6318, grad_fn=<NllLossBackward>)","tensor([[-0.0105, -0.1371]], grad_fn=<AddmmBackward>)",0,"tensor(0.9884, grad_fn=<NllLossBackward>)","tensor([[-0.2455,  0.2774]], grad_fn=<AddmmBackward>)",1
Honeslty it didn't taste THAT fresh.),0,"tensor(0.9860, grad_fn=<NllLossBackward>)","tensor([[0.3106, 0.8296]], grad_fn=<AddmmBackward>)",1,"tensor(0.6589, grad_fn=<NllLossBackward>)","tensor([[-0.0097, -0.0794]], grad_fn=<AddmmBackward>)",0,"tensor(0.8674, grad_fn=<NllLossBackward>)","tensor([[-0.0445,  0.2782]], grad_fn=<AddmmBackward>)",1
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,"tensor(0.9970, grad_fn=<NllLossBackward>)","tensor([[0.1805, 0.7171]], grad_fn=<AddmmBackward>)",1,"tensor(0.6358, grad_fn=<NllLossBackward>)","tensor([[ 0.0012, -0.1169]], grad_fn=<AddmmBackward>)",0,"tensor(0.9574, grad_fn=<NllLossBackward>)","tensor([[-0.0838,  0.3893]], grad_fn=<AddmmBackward>)",1
The fries were great too.,1,"tensor(0.4264, grad_fn=<NllLossBackward>)","tensor([[0.1723, 0.8038]], grad_fn=<AddmmBackward>)",1,"tensor(0.7494, grad_fn=<NllLossBackward>)","tensor([[-0.0091, -0.1187]], grad_fn=<AddmmBackward>)",0,"tensor(0.4981, grad_fn=<NllLossBackward>)","tensor([[-0.3665,  0.0711]], grad_fn=<AddmmBackward>)",1
A great touch.,1,"tensor(0.5291, grad_fn=<NllLossBackward>)","tensor([[0.3316, 0.6921]], grad_fn=<AddmmBackward>)",1,"tensor(0.7470, grad_fn=<NllLossBackward>)","tensor([[-0.0072, -0.1122]], grad_fn=<AddmmBackward>)",0,"tensor(0.4495, grad_fn=<NllLossBackward>)","tensor([[-0.2904,  0.2761]], grad_fn=<AddmmBackward>)",1
